GROUP,N,RATE_DFW,mean_grade,sd_grade,med_grade,mad_grade,mn_ga,sd_ga,med_ga,mad_ga
ALL,22289,0.11480999596213379,2.843910000448652,1.0968556414829218,3,0.9933419999999998,-0.5963144519374479,0.9481967253537675,-0.4125000000000001,0.7281587727272721
FG,5311,0.16324609301449822,2.56707776313312,1.123033208317444,2.66,0.9785160000000002,-0.758068523815774,0.9971276959608867,-0.5728,0.7701612799999994
FEM,7780,0.08920308483290489,2.9396028277634962,1.033831387011687,3,0.9933419999999998,-0.5581628157326566,0.8641958289999017,-0.40600000000000014,0.6739476000000008
URM,6095,0.17243642329778508,2.526656275635767,1.1350744627204685,2.66,0.9785160000000002,-0.7617582326145428,1.0161857362570914,-0.5866666666666664,0.7922025999999996
LI,6698,0.14257987458942967,2.6656166019707377,1.1085841299141377,3,0.9933419999999998,-0.714556173087545,0.9937318952359725,-0.5361538461538462,0.7949016923076924
FG_FEM,1948,0.14219712525667352,2.58152977412731,1.0589089949158343,2.66,0.9785160000000002,-0.767907271178986,0.9160860187866848,-0.610590909090909,0.7270805181818186
FEM_URM,2287,0.15128989943156973,2.574866637516397,1.0879084764631162,2.66,0.9785160000000002,-0.7650345740283487,0.9501583521463614,-0.6020000000000003,0.7257327000000013
FG_URM,2568,0.19898753894080998,2.3789057632398753,1.1118204056463659,2.33,0.9933419999999998,-0.8575776176218932,1.0180151635692034,-0.6707999999999998,0.789912173076923
FG_LI,3505,0.1637660485021398,2.540950071326676,1.107523943516815,2.66,0.9785160000000002,-0.7869559618537646,0.9959636710057848,-0.5979999999999999,0.7828128000000006
LI_URM,2824,0.1929886685552408,2.39657223796034,1.0999856404665191,2.33,0.9933419999999998,-0.8582083900176349,1.0215353839456693,-0.6707999999999998,0.7934903711538462
GEN_LI,2454,0.11858190709046455,2.7001263243683784,1.0445603590005565,3,0.9933419999999998,-0.7007065334531271,0.9050539561163268,-0.556545454545454,0.7256653090909089
FG_FEM_LI,1325,0.14566037735849058,2.5433056603773587,1.0506079815142326,2.66,0.9785160000000002,-0.8046597866996784,0.9180122831665448,-0.6656666666666666,0.7679418727272733
FG_FEM_URM,977,0.18935516888433981,2.360542476970317,1.0669663658752429,2.33,0.9933419999999998,-0.9101136798839632,0.972365762066762,-0.7338181818181817,0.7644824727272718
FG_URM_LI,1075,0.1702325581395349,2.4074883720930234,1.035482335546897,2.33,0.9933419999999998,-0.87635312546331,0.9425418345914565,-0.7192307692307689,0.7428551748251735
URM_LI_GEN,1075,0.1702325581395349,2.4074883720930234,1.035482335546897,2.33,0.9933419999999998,-0.87635312546331,0.9425418345914565,-0.7192307692307689,0.7428551748251735
QUAD,740,0.18783783783783783,2.3404324324324324,1.0412926945904002,2.33,0.9933419999999998,-0.9342236550756124,0.9575078930822112,-0.7707692307692307,0.7796402433566434
NONE,7419,0.09826122118883947,2.9456988812508427,1.0730376982035958,3,0.9933419999999998,-0.5298035905706028,0.9296499805300963,-0.33320000000000016,0.7015663199999997
